# Profile Compression settings. Method: Sum Points, using 1 datapoints
# Profile Smoothing is Disabled
#	total	C_2HO-	LiCO_3-	LiF_2-	LiO-	Li_3N-	SO-	LiO_2-	Li_2O-	
#	N/A	40.9138	66.9930	45.4100	22.8669	34.5997	48.1363	39.1065	30.0886	
Sputter Time (s)	Intensity	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
0	134559	859.298	21.0131	42.0539	1636.14	160.786	53.0929	393.703	43.0517	
1	135559	1413.33	22.0129	62.1172	2785.37	206.293	46.0673	589.443	71.1496	
2	135449	1327.68	42.0498	87.2317	2829.29	207.306	37.0448	690.311	64.1221	
3	137348	1331.02	34.0306	72.1579	2957.58	198.206	30.0328	759.409	70.1498	
4	137293	1290.68	30.0252	79.1902	2974.7	180.996	41.0527	789.72	70.1449	
5	138363	1337.53	21.0126	65.1301	2968.37	178.974	38.0441	777.193	72.1535	
6	137125	1235.21	41.047	59.1092	2901.77	183.018	36.0426	773.987	77.1806	
7	137314	1303.75	24.0169	68.1403	2958.78	193.134	31.0342	782.461	58.104	
8	139109	1226.88	33.0297	82.2051	2893.03	194.158	36.0418	816.015	76.1753	
9	137209	1222.57	39.0393	62.1159	3012.98	168.867	39.0499	808.561	78.1831	
10	138687	1248.61	34.0309	94.2707	2978.16	164.826	41.053	843.41	83.2081	
11	138208	1249.84	33.0275	70.1487	2955.19	164.826	34.0353	848.608	89.2439	
12	139527	1216.11	32.0288	69.1444	2975.62	159.777	31.0309	875.973	68.1363	
13	138336	1208.8	41.0453	88.2372	2920.49	159.777	35.0395	859.11	74.1635	
14	140315	1199.11	41.0458	85.2198	2960.18	171.909	39.0481	912.967	70.1481	
15	139349	1173.08	36.0354	83.2143	2976.96	167.857	33.0348	862.206	67.1335	
16	139991	1169.93	41.0445	90.2481	3031.02	160.796	34.0353	890.867	87.2292	
17	140871	1178.75	44.051	67.1385	2904.96	172.909	28.0257	908.815	68.14	
18	140859	1198.18	47.0599	82.2042	2918.88	174.931	47.0702	838.109	71.151	
19	140178	1266.97	39.0394	80.1993	3006.97	134.551	29.027	900.312	69.1442	
20	139518	1199.19	44.0521	84.216	3016.58	159.777	35.0374	894.983	65.1284	
21	139652	1196.96	33.0302	86.2281	2953.58	131.527	39.0489	880.224	77.1781	
22	139633	1197.23	41.05	73.1656	2969.57	135.559	48.0747	920.392	73.1583	
23	140663	1181.92	34.0317	75.1763	3047.67	175.941	33.0397	908.791	68.1443	
24	138717	1109.1	38.0399	72.1585	2910.13	133.55	33.0379	882.366	71.1525	
25	139625	1164.63	36.0357	103.324	3045.67	170.899	41.0539	926.875	64.1225	
26	138818	1148.43	34.0318	82.2058	2994.76	163.816	36.0416	961.884	59.1022	
27	139457	1171.07	43.0492	97.2883	3013.32	156.747	33.0333	960.712	72.1555	
28	138907	1117.45	35.0336	78.189	3032.02	170.888	46.0686	920.383	63.1192	
29	139593	1189.43	50.0744	75.1722	3029.81	160.786	24.0186	958.536	53.0842	
30	138353	1155.12	35.0335	78.1909	3085.05	179.985	37.0441	929.985	70.1478	
31	139482	1069.27	43.0478	70.1498	3084.25	156.747	38.0484	1010.62	68.1427	
32	137715	1124.94	33.0304	72.1581	3073.39	175.941	41.0514	930.969	72.1555	
33	140069	1126.18	43.0544	82.2053	3087.46	158.767	35.0374	990.414	62.1166	
34	138125	1156.05	29.0231	71.1542	2970.76	141.61	35.0374	991.46	77.1765	
35	140293	1132.52	48.0663	89.2424	3068.36	153.719	25.0191	958.659	75.1694	
36	138267	1153.97	34.0301	75.1722	3179.48	164.826	37.0441	958.598	62.115	
37	138494	1107.68	50.0679	76.1768	3051.9	154.728	28.0271	971.365	65.1276	
38	139576	1175.3	44.0542	83.2106	2934.84	140.602	38.0441	1013.75	81.1933	
39	137376	1089.77	29.0237	70.15	2998.56	144.637	20.0122	973.373	63.1204	
40	138893	1175.6	39.0422	100.305	3126.56	143.628	29.0275	988.313	72.157	
41	138333	1179.77	41.0432	104.328	3046.46	146.654	25.0191	978.847	73.1606	
42	137879	1127.24	40.0443	85.22	3017.58	161.796	35.0392	979.789	59.1073	
43	137480	1135.59	35.0346	81.2009	3154.22	150.691	33.0365	1002.18	64.125	
44	138271	1167.78	37.0369	82.2058	2970.96	146.654	32.0347	1003.12	70.1457	
